City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,53.56,58,57,8.01,CA,1687237809
1,grytviken,-54.2811,-36.5092,28.54,78,51,10.45,GS,1687237913
2,vernon,50.2581,-119.2691,52.75,76,100,0.0,CA,1687237913
3,port alfred,-33.5906,26.891,51.19,66,80,7.0,ZA,1687237914
4,vilyuchinsk,52.9306,158.4028,50.27,91,100,3.83,RU,1687237914
5,spanish wells,26.323,-81.7957,83.97,84,0,3.44,US,1687237914
6,puerto baquerizo moreno,-0.9,-89.6,76.39,84,1,9.75,EC,1687237915
7,port sudan,19.6175,37.2164,88.92,55,57,6.98,SD,1687237915
8,port-aux-francais,-49.35,70.2167,38.19,65,61,25.7,TF,1687237916
9,puerto natales,-51.7236,-72.4875,29.89,90,100,2.33,CL,1687237884
10,medicine hat,50.0501,-110.6683,53.22,62,17,8.52,CA,1687237630
11,avarua,-21.2078,-159.775,77.05,83,40,8.05,CK,1687237917
12,okhotsk,59.3833,143.3,52.54,80,93,9.8,RU,1687237918
13,invercargill,-46.4,168.35,48.78,92,58,2.66,NZ,1687237919
14,ancud,-41.8697,-73.8203,42.33,83,19,9.24,CL,1687237919
15,susuman,62.7833,148.1667,76.42,19,25,3.74,RU,1687237919
16,margaret river,-33.95,115.0667,56.1,59,76,17.72,AU,1687237920
17,hawaiian paradise park,19.5933,-154.9731,75.04,89,100,9.22,US,1687237921
18,haiku-pauwela,20.9219,-156.3051,77.02,71,40,14.97,US,1687237921
19,olonkinbyen,70.9221,-8.7187,38.84,99,100,8.75,SJ,1687237922
20,praia da vitoria,38.7333,-27.0667,64.69,85,100,5.28,PT,1687237922
21,chifeng,42.2683,118.9636,77.2,39,93,6.67,CN,1687237836
22,jamestown,42.097,-79.2353,69.03,74,0,8.05,US,1687237844
23,iqaluit,63.7506,-68.5145,38.93,87,100,3.44,CA,1687237923
24,dudinka,69.4058,86.1778,41.16,82,100,9.55,RU,1687237924
25,salinas,36.6777,-121.6555,58.01,78,0,12.66,US,1687237859
26,edinburgh of the seven seas,-37.0676,-12.3116,59.81,98,100,16.04,SH,1687237924
27,puerto ayora,-0.7393,-90.3518,77.56,92,3,4.0,EC,1687237925
28,vadso,70.0744,29.7487,50.88,76,40,11.5,NO,1687237925
29,hadim,36.9878,32.4567,57.67,71,1,6.11,TR,1687237926
30,college,64.8569,-147.8028,64.35,61,100,1.99,US,1687237926
31,alofi,-19.0595,-169.9187,75.25,66,45,15.41,NU,1687237927
32,talnakh,69.4865,88.3972,36.25,100,100,5.17,RU,1687237927
33,bilibino,68.0546,166.4372,65.07,25,11,16.11,RU,1687237927
34,uturoa,-16.7333,-151.4333,80.26,79,7,6.13,PF,1687237928
35,adamstown,-25.066,-130.1015,74.41,83,50,23.17,PN,1687237928
36,kiunga,-6.1219,141.2906,82.71,67,93,2.75,PG,1687237929
37,waitangi,-43.9535,-176.5597,48.81,88,70,1.99,NZ,1687237929
38,richards bay,-28.783,32.0377,65.7,65,100,10.49,ZA,1687237798
39,ryotsu-minato,38.0833,138.4333,70.97,59,76,10.27,JP,1687237930
40,punta arenas,-53.15,-70.9167,33.91,80,0,11.5,CL,1687237667
41,castillos,-34.1667,-53.8333,51.55,92,100,1.99,UY,1687237931
42,karratha,-20.7377,116.8463,67.12,84,100,10.67,AU,1687237931
43,nova vicosa,-17.8919,-39.3719,72.23,68,1,12.01,BR,1687237931
44,lata,40.1629,-8.3327,62.08,97,91,2.08,PT,1687237932
45,st. john's,47.5649,-52.7093,43.68,97,100,10.0,CA,1687237871
46,sikonge,-5.6333,32.7667,69.22,57,98,4.25,TZ,1687237933
47,queenstown,-31.8976,26.8753,37.71,67,43,12.73,ZA,1687237934
48,shitanjing,39.2342,106.3439,81.61,11,0,12.06,CN,1687237934
49,igarka,67.4667,86.5833,40.89,82,100,5.73,RU,1687237934
50,georgetown,5.4112,100.3354,93.13,46,20,4.61,MY,1687237695
51,hermanus,-34.4187,19.2345,49.8,71,84,14.14,ZA,1687237935
52,blackmans bay,-43.0167,147.3167,50.13,62,70,9.51,AU,1687237935
53,mont-laurier,46.5501,-75.4993,53.22,94,13,2.04,CA,1687237936
54,strelka,58.0728,93.0344,73.04,30,49,10.56,RU,1687237936
55,albany,42.6001,-73.9662,61.59,81,82,0.87,US,1687237937
56,bamboo flat,11.7,92.7167,87.89,74,40,16.11,IN,1687237937
57,dryden,49.7833,-92.7503,70.09,73,0,6.91,CA,1687237937
58,amahai,-3.3333,128.9167,80.85,71,68,7.78,ID,1687237938
59,taksimo,56.3444,114.8794,60.98,35,81,10.8,RU,1687237938
60,papatowai,-46.5619,169.4708,51.51,95,88,10.22,NZ,1687237939
61,tiksi,71.6872,128.8694,47.26,76,100,13.11,RU,1687237939
62,zbaszyn,52.2509,15.9252,72.99,72,0,0.0,PL,1687237940
63,codrington,-38.2667,141.9667,49.21,72,100,5.7,AU,1687237940
64,manturovo,58.3353,44.7619,52.45,66,98,7.36,RU,1687237941
65,happy valley-goose bay,53.3168,-60.3315,43.11,65,20,4.61,CA,1687237942
66,wailua homesteads,22.0669,-159.378,79.23,81,20,10.36,US,1687237943
67,nemuro,43.3236,145.575,56.55,78,56,6.89,JP,1687237943
68,carbonear,47.7332,-53.2148,44.15,94,100,9.8,CA,1687237943
69,new norfolk,-42.7826,147.0587,51.3,57,85,4.0,AU,1687237944
70,port mathurin,-19.6833,63.4167,75.0,66,47,19.95,MU,1687237944
71,thompson,55.7435,-97.8558,64.56,94,75,2.3,CA,1687237945
72,grojec,51.8625,20.8676,73.2,68,89,1.19,PL,1687237945
73,buncrana,55.1333,-7.45,54.68,95,77,4.52,IE,1687237945
74,nova sintra,14.8667,-24.7167,69.64,85,74,7.63,CV,1687237946
75,lagkadas,40.75,23.0667,76.87,61,0,1.77,GR,1687237946
76,bah-bah,8.6072,125.9144,88.18,67,66,2.15,PH,1687237947
